Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019<R>,2020<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,3004.357,2978.916,3250.879,3331.376,3491.849,3416.498,3534.49,3860.164,3815.036,3987.786,4682.517,4489.148,4485.613,4707.032,4449.451,4338.016,4254.829,4472.058
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,2681.673,3208.555,4250.879,3933.357,2442.269,1995.326,1734.291,1888.441,1981.581,2287.647,2926.006,2505.168,2239.762,2204.28,2151.098,2047.577,1885.226,1646.4
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,1478.607,1334.799,1460.936,1306.763,1319.987,1415.914,1685.164,1874.574,1540.46,1188.323,1101.34,1183.9,1029.513,1063.988,1362.305,1295.806,1334.328,1174.658
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,764.413,1468.894,1492.279,1329.921,1359.194,1378.526,1252.572,1124.764,1132.872,1212.441,1215.345,1424.742,1427.569,1474.037,1338.528,1098.754,1164.37,1130.705
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,6678.656,7113.866,6968.756,6640.076,7905.774,7200.81,6529.186,6795.624,6542.855,6821.491,6258.777,6618.618,7707.526,7372.4,7561.314,7628.424,7637.534,8629.085
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,193.059,193.413,299.919,337.483,153.368,160.13,181.306,199.782,729.719,1784.154,2067.554,3192.857,3470.365,3614.254,3700.82,3311.184,3057.887,1850.45
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,2539.768,2547.134,3032.682,3380.263,3876.023,3665.986,2327.561,2358.009,2686.396,2696.726,2192.788,2301.205,2300.176,2485.076,2287.535,2351.046,2654.987,2658.36
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,813.088,754.635,803.905,817.316,1050.376,1122.539,1583.538,1641.854,1708.526,1858.043,2374.147,2645.543,2139.458,2051.383,2139.565,2093.797,1463.398,1615.27
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,1949.069,2665.862,2201.54,2838.715,2086.363,2165.615,2105.018,1820.4,1295.948,911.92,916.112,1382.705,1435.436,1276.952,1190.83,1418.608,1469.981,1296.698
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,4966.159,5273.373,5558.455,6051.122,6322.495,7627.057,7577.286,7425.097,7921.072,8329.629,8335.705,7136.213,7825.211,7206.485,6761.087,7073.814,6754.446,6287.147
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,2445.725,2489.286,2071.032,1721.506,2108.155,2446.658,2456.391,2686.265,2576.671,2408.953,2592.912,2536.876,3462.901,3635.713,3428.41,3339.162,2763.224,2155.008
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,24716.332,28013.886,32780.616,28307.479,32672.37,24218.645,20963.757,23765.093,37868.74,42901.508,44520.787,44159.847,53741.823,64616.688,62865.157,61662.225,63876.436,62244.073
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,682.034,549.005,634.608,636.744,576.5,633.161,678.408,649.381,748.437,794.351,731.268,732.991,762.353,539.546,435.136,369.817,365.195,462.358
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,207.855,179.534,202.282,192.958,209.254,212.402,167.301,165.12,158.245,144.863,148.156,157.649,168.404,170.589,163.232,178.384,174.772,156.665
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,381.286,435.865,360.211,459.173,478.911,479.74,442.843,496.011,432.857,543.956,402.123,368.957,344.796,359.328,364.414,372.713,458.936,413.072
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,2141.091,2173.346,2036.387,2552.273,3227.393,2284.589,2236.631,2908.206,2689.419,2736.692,2718.592,2718.951,2296.684,2183.359,2086.461,2098.254,2002.705,2090.949
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,770.032,730.46,728.556,794.39,877.947,768.158,780.408,886.396,775.862,974.824,842.167,930.639,932.465,901.96,935.473,924.415,889.751,883.296
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,10922.261,11261.644,12379.315,11854.104,12999.005,17598.344,22307.173,31303.483,31641.867,32035,28211.993,32236.364,32413,24062.952,23202.963,17945.601,15134.511,16294.015
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.56910307319,0.527163590628,0.412799012969,0.436392284317,0.477545149986,0.423610329171,0.495325167085,0.388768394113,0.336404389343,0.328774325098,0.573511853334,0.572313781778,0.444232113764,0.396594253721,0.409516640592,0.360517046605,0.321459004915,0.378234765114
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,0.662814125945,0.637052161169,0.510861123815,0.508077731873,0.504176187898,0.491038964287,0.409012537644,0.360752424227,0.317734288949,0.290817239792,0.268663166987,0.257520126165,0.291829368906,0.286586374407,0.303399391259,0.294514122668,0.292836300938,0.350135696194
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,1.905071489735,2.115764442989,1.935277686172,1.779706089267,1.742947853142,1.988287378839,2.107053200891,1.77614627768,1.623721653871,1.567786060897,2.130788260903,2.185269459038,2.230156560459,2.425061218356,2.396850747756,2.567064653607,2.313287226433,2.14797868499
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,0.17427270946,0.170817478005,0.170710756252,0.193391726166,0.170175262848,0.13579482293,0.147963691626,0.138734940482,0.111993423331,0.102433757926,0.095182957238,0.076622141118,0.072622362302,0.060252787595,0.046484516538,0.043369352937,0.042393165931,0.044099943049
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,11.702219055835,10.497008615646,11.368550410444,10.931219106047,10.651274996081,10.812830915424,10.066994061763,10.865851882522,10.736535207724,10.015662911568,9.196604502731,9.168142606581,7.533589783895,7.522474418877,7.72354607718,7.071911838466,7.029902217485,5.599893557228
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,1.654254426688,1.459619590466,1.351514002408,1.447124023355,1.467067212749,1.350553960373,1.339675606593,1.325395309073,1.122245715372,1.097493759269,1.067074066931,0.975820426205,0.807010819739,0.806770753566,0.837435307459,0.867237729665,0.856093902391,0.921784292544
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chiapas<C1>,0.987582834806,0.654032056331,0.787110712943,0.793444863686,0.752500381759,0.622259149918,0.563654264753,0.549964524378,0.453356406269,0.469603239725,0.358389099793,0.386060171965,0.407523562343,0.344027795593,0.296016468145,0.257846239118,0.218615516095,0.226212010637
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chihuahua<C1>,6.462502545663,5.749967261016,8.279367125156,10.116205254271,9.72104918042,9.594595859464,8.749199139614,7.79749017492,7.445125071374,8.463794994021,9.299400710565,8.523453803011,7.288443924157,8.476868246062,10.46585614536,13.403165648387,12.709964442207,12.833489145944
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,0.113229774637,0.107214381856,0.085698909566,0.100083897993,0.091754152829,0.080823241315,0.089781389074,0.06790259456,0.070850686014,0.0706689338,0.058280589245,0.066013603736,0.058657100133,0.065103479121,0.065952390985,0.06418058535,0.061642598677,0.06536848946
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Durango<C1>,6.03042640146,6.101756292354,5.62981368026,5.934888846317,5.582086421652,4.807965497317,4.784939717878,4.364587657431,4.240773174505,4.374106278433,5.566594349212,5.508301044394,5.30446627903,4.684724855303,4.214966603872,4.438362740174,4.536068754642,4.980481323412
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guanajuato<C1>,2.802963362762,2.370609010695,2.26822096851,2.784891380469,2.285696653202,2.33476656472,1.803400055182,1.458807571261,1.217966481968,1.524377485006,1.775498878226,1.540470646826,1.570263782311,1.484832670482,1.576554258244,1.542482291118,1.185488656145,1.03686220135
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guerrero<C1>,0.998523318177,0.928849721396,1.030511778596,1.161229341474,1.981753984451,3.566874301271,2.796766809211,2.612956599347,2.064978965355,2.619551325069,2.842029344409,2.149773711664,2.265799923919,3.600393638807,3.659509877648,4.098352504269,4.994139279965,4.945150459626
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Hidalgo<C1>,1.423310143467,1.588254214774,1.191978630489,1.19078170807,1.287501401349,1.545394457554,1.272346092681,1.368614659415,1.248007531854,1.263986453299,1.341932123943,1.353521625246,1.533641988281,1.315294985383,1.248246155357,1.261420883579,1.230891617738,1.13423188329
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Jalisco<C1>,1.939825854603,1.70973955024,1.685072025218,1.671390178898,1.274462908422,1.195726042824,1.283577334176,1.530649488855,1.854981736542,1.799099377501,1.671799509275,1.724116602829,1.544679991831,1.435192739437,1.438867650341,1.091219280011,0.959188027848,1.165698972259
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|México<C1>,2.791906718649,2.654509649856,2.555558683412,2.65478494286,2.603857505804,2.647228859217,2.884096974116,2.748316096036,2.411371965861,2.316889889703,2.659790743931,2.51961771189,2.402222707207,2.43078465221,2.298807182083,2.272953981403,2.293367812311,2.485475413537
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,2.492041014407,2.859140777918,3.341671818787,3.134505663274,1.821189996143,1.546052294117,1.415158460015,1.344510957751,1.2524990253,1.329115004042,1.662047073291,1.406072079615,1.199480903756,1.138324530866,1.111363970918,1.072851804691,1.016143451906,0.915034357973
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Morelos<C1>,1.374048695791,1.189438314514,1.148460979541,1.041363909774,0.98430890268,1.097102472464,1.375071479418,1.334638087245,0.97367942492,0.690411557792,0.625589600192,0.664485868834,0.551344823097,0.549459978291,0.703834364776,0.678952637986,0.719207490187,0.652850114716
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nayarit<C1>,0.710358253204,1.30893026108,1.173100123543,1.05981859928,1.01354540209,1.068132868915,1.02208214341,0.800796806934,0.716055046849,0.704424032474,0.690347388313,0.799662915563,0.764519513365,0.761215669745,0.691549986688,0.575704948733,0.627599529763,0.628421965338
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nuevo León<C1>,6.206381118471,6.339160266614,5.478230628818,5.291499303666,5.895303310393,5.579453593048,5.327729201679,4.838271851095,4.135546066589,3.963262705321,3.555147185355,3.714822309496,4.127684214752,3.807222209229,3.906550028123,3.997001556156,4.116657717861,4.795863248827
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Oaxaca<C1>,0.179407014278,0.172350168621,0.235770265448,0.268941358427,0.114365889805,0.124074639361,0.147943291957,0.142238538647,0.461233901739,1.036587310421,1.174424138082,1.792050306368,1.858517354327,1.86645706942,1.912027258103,1.734933401803,1.648211859862,1.028441039669
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Puebla<C1>,2.3601706931,2.269749057199,2.384031155613,2.693743160576,2.890334485031,2.840541377951,1.899258913498,1.678828694661,1.69799184165,1.566788489829,1.245560288581,1.291594056754,1.23183498393,1.283331959582,1.181854095543,1.231857919879,1.431047341245,1.477460359488
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Querétaro<C1>,0.755591246331,0.672454641091,0.631960280093,0.651321919339,0.783261083603,0.869784684902,1.292146010937,1.168948722267,1.079908996755,1.079516564162,1.348576890448,1.484860156173,1.145764155025,1.059366138196,1.105405450815,1.097069311731,0.788776674644,0.89773296125
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Quintana Roo<C1>,1.811242417666,2.375547482434,1.730659512052,2.262181704819,1.555792348805,1.677998501961,1.717666776327,1.296067892769,0.819130586556,0.52982236966,0.520375306273,0.776068868373,0.768732602198,0.659437905501,0.615241870658,0.743296175406,0.792324934823,0.720677369968
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,4.614981734188,4.699098435736,4.369574487887,4.822159844164,4.71465864107,5.909725514634,6.182964904304,5.286436949241,5.006676466584,4.839485673273,4.734895997845,4.005332118838,4.190709174618,3.72154111856,3.493113050191,3.706407190523,3.640670176496,3.494263556017
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sinaloa<C1>,2.272777855451,2.218200750961,1.62806545898,1.371874026782,1.572042554002,1.895761000368,2.004382485266,1.912536705103,1.628637898738,1.399593370976,1.47284106762,1.423868783668,1.854520087892,1.877538831314,1.771286734279,1.749592800591,1.489387465349,1.197707945643
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sonora<C1>,22.968539814397,24.963151266084,25.76927282326,22.55832695545,24.363652568286,18.765500806714,17.106147741205,16.920003299263,23.935715945667,24.925627939469,25.288958304931,24.785534505776,28.780866190928,33.369064299332,32.479259669196,32.308640589592,34.429623913797,34.593941554404
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tabasco<C1>,0.633804606758,0.489217913603,0.498873684614,0.507423474161,0.429893690161,0.490596532394,0.553571932589,0.462338971805,0.473064998604,0.461515186817,0.415379134285,0.411404815848,0.408270104333,0.278629959593,0.22481285039,0.193769922135,0.196841390857,0.256968814191
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tamaulipas<C1>,0.193156729045,0.159982602892,0.15901653725,0.153768890994,0.156039851242,0.16457691594,0.136515397658,0.11756027821,0.100022006801,0.084164902553,0.084156439252,0.088483429965,0.090186985098,0.088094817081,0.084333751275,0.093466373342,0.094202723375,0.087071099181
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tlaxcala<C1>,0.354323718895,0.38839895067,0.283166598606,0.36591653616,0.357121972331,0.37172027407,0.361354016084,0.35314432628,0.273596169218,0.316036556837,0.228416262733,0.207083970528,0.184651859301,0.185562576908,0.188274355747,0.195287315047,0.24736811992,0.229576696013
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,1.989685762424,1.936666871263,1.600830569405,2.033915094084,2.406653749126,1.770183952179,1.825061239193,2.070551759042,1.699902590973,1.590008597761,1.544230557652,1.526061759906,1.22996488018,1.127520600553,1.07796928923,1.099404608765,1.079465046551,1.162105305982
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Yucatán<C1>,0.715579910901,0.650912318049,0.572727441456,0.633052111427,0.654681484122,0.595197194917,0.636802580111,0.631086242518,0.490399533891,0.566369376351,0.478372634086,0.522338427643,0.499371790807,0.465786194975,0.483311772856,0.484358000228,0.479578921825,0.490917266922
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Zacatecas<C1>,10.149903579614,10.035241903847,9.731542128436,9.44657607256,9.693304818518,13.635847031443,18.202357384061,22.28710132287,19.999892800832,18.612224331156,16.025141574339,18.093258164204,17.358440108117,12.426483271934,11.987802088393,9.402806546037,8.157554717818,9.055869505785
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,61.124981576791,63.744402722882,72.257520453631,71.279133968234,76.173927541474,73.309083438415,69.612143365887,79.782415763199,89.867475193161,97.76751068512,100,101.203930241358,106.066110041844,109.993943537877,109.944115741449,108.409817683978,105.384443224716,102.203569414291
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Aguascalientes<C1>,60.655093110737,58.592909678327,52.009096149389,54.237177341238,63.427616083862,54.147939203176,60.121942281446,54.082372446908,52.713493083797,56.046700962108,100,100.99251429692,82.156928385651,76.062884659954,78.505692026409,68.147828274525,59.069011487058,67.403913008167
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California<C1>,150.800356042683,151.150267349152,137.397167304118,134.798309431537,142.948811464405,133.987910617218,105.977457677646,107.129310727583,106.281700801519,105.82945893775,100,97.006408345438,115.21194476687,117.331921002501,124.159102873924,118.841085295902,114.866473422598,133.196963065857
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California Sur<C1>,54.649944271419,63.294952011574,65.627528346134,59.534732328202,62.308952001444,68.40638651403,68.836726854245,66.50367067541,68.481588775056,71.935134650968,100,103.791569509309,111.012452758665,125.184680065163,123.67237085991,130.60660047126,114.410469988806,103.028110610503
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Campeche<C1>,111.91516279958,114.397140265444,129.593955886565,144.824190776282,136.189487252936,104.587988160031,108.213382029982,116.287716031701,105.739162608613,105.215196218848,100,81.469015563831,80.925952449155,69.628449345937,53.693425952449,49.396066074668,46.936765969636,47.352716509119
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,77.778480523231,72.757890630462,89.322451951358,84.723424918909,88.222718453846,86.192542426816,76.200410019031,94.263476509759,104.915386016019,106.474778863712,100,100.890721627071,86.886259248343,89.970882867623,92.333909063036,83.363884231141,80.556071634248,62.232654423578
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Colima<C1>,94.760311854894,87.194115085656,91.518530623891,96.665967551845,104.727755106821,92.784443027288,87.395705021809,99.096438453586,94.513953728536,100.554625176864,100,92.549210408365,80.216079711865,83.161890505843,86.283686599247,88.107364872994,84.548000975212,88.28782166823
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chiapas<C1>,168.436993809217,116.328545752515,158.695307621351,157.806313774095,159.940437887716,127.28413885358,109.482072723469,122.429779154212,113.680900500525,128.106406651684,100,109.017843274617,120.607571583896,105.586285815722,90.809873553344,77.996411691799,64.283970849751,64.509983548304
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chihuahua<C1>,42.478043622189,39.414177336519,64.331730399509,77.539872945805,79.627765158579,75.63616735218,65.493521980566,66.89706384393,71.948140905635,88.982526215319,100,92.759420842603,83.129754201815,100.264973653202,123.734779819905,156.250363819576,144.034284341163,141.044400556359
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Ciudad de México<C1>,118.755969669207,117.265745307109,106.251340129822,122.405995984484,119.924562874018,101.66468489893,107.237675678837,92.954328375665,109.250307011559,118.549346016647,100,114.632268376835,106.751330383423,122.870899202745,124.416678037465,119.384612385723,111.463714157619,114.633243016705
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Durango<C1>,66.218172111214,69.872670077315,73.078142870088,75.995071784435,76.385922871018,63.318345419176,59.83728806918,62.554827112451,68.463328590426,76.823539760014,100,100.144123978459,101.071511371141,92.568512971974,83.248526310892,86.437427499231,85.874962346539,91.44243979732
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guanajuato<C1>,96.497432924598,85.11019484691,92.309843185733,111.802180350484,98.062856236099,96.400847672356,70.706067307028,65.551825234121,61.647784713744,83.939558555169,100,87.807255635153,93.805618900637,91.986879250199,97.624879388407,94.182106230341,70.364483756786,59.685206940062
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guerrero<C1>,21.475752721429,20.833342493872,26.200371951165,29.124056006532,53.116265218569,92.006187860321,68.503491164411,73.351807640688,65.296456670487,90.114133644592,100,76.552886119186,84.560908752045,139.344618450257,141.568410733219,156.332533535065,185.186190438597,177.834908446249
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Hidalgo<C1>,64.831748748862,75.445184213501,64.183142154603,63.25050826494,73.084202029335,84.424129367449,66.002398358652,81.368782987485,83.577465587617,92.088718105661,100,102.077970783708,121.218828427619,107.810581307787,102.26845108614,101.905607274485,96.6642242859,86.384806613815
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Jalisco<C1>,70.924664690343,65.191026697359,72.831177215082,71.261681687294,58.069669659466,52.433069729119,53.446940803724,73.046386980047,99.714424048859,105.212058406313,100,104.370993909638,98.001104249662,94.42669905799,94.625599904865,70.761405624878,60.463886788927,71.263686325142
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|México<C1>,64.161155207765,63.617836304705,69.425887829131,71.144984631129,74.572051740549,72.962853098024,75.482694456849,82.437800012258,81.474044835288,85.163299994426,100,95.870404741723,95.794911155688,100.523543214045,95.022634194387,92.642824361342,90.866279823437,95.505430092405
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,91.649607006958,109.656473705112,145.279230459541,134.427509718025,83.467668897466,68.192819837007,59.271614617332,64.539888161542,67.723066869993,78.183264149151,100,85.617322725927,76.546732986877,75.334090224012,73.516527307189,69.978564637256,64.430011421713,56.267827201995
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Morelos<C1>,134.255270851871,121.197722774075,132.650770879111,118.652096536946,119.852815660922,128.562841629288,153.010332867234,170.208473314326,139.871429349701,107.897924346705,100,107.496322661485,93.478217444204,96.608495105962,123.695225815824,117.657217571322,121.154956689124,106.657163092233
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Nayarit<C1>,62.896790623239,120.862306587841,122.786451583707,109.427446527529,111.836063010915,113.426722453295,103.063080853585,92.546889977743,93.214025647039,99.761055502759,100,117.229428680745,117.462037528438,121.285478608955,110.135640497143,90.406756929102,95.805717718014,93.0357223669
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Nuevo León<C1>,106.708642918577,113.662237846148,111.343733767795,106.092228561586,126.314997322959,115.051391030548,104.320476668205,108.577506436162,104.538873968509,108.990798042493,100,105.749382027831,123.147477534349,117.792980960977,120.811366182243,121.883620394208,122.029175987577,137.871743952533
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Oaxaca<C1>,9.33755539154,9.354677072521,14.505981464088,16.322814301344,7.417847369404,7.744900495948,8.769105909688,9.662722231197,35.293830294154,86.292981948718,100,154.426776761332,167.848820393566,174.808203316576,178.995083078846,160.149819545221,147.898773139662,89.499476192641
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Puebla<C1>,115.823691118339,116.159610504983,138.302562764845,154.153661913509,176.762322668676,167.183786120683,106.146193795296,107.534745720973,122.510520852905,122.981610625377,100,104.944253616857,104.897327055785,113.329514754732,104.320846338086,107.217204763981,121.078143441135,121.231965880879
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Querétaro<C1>,34.247584500876,31.785521284065,33.860792950057,34.425669514146,44.242247847332,47.281781625148,66.699239769062,69.155532492301,71.963783202978,78.26149770844,100,111.431305643669,90.114807549827,86.40505410996,90.119314431668,88.191548375059,61.638895990855,68.03580401719
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Quintana Roo<C1>,212.754444871369,290.997388965541,240.313411460607,309.865496795152,227.741040396807,236.39194770945,229.777363466476,198.709328117086,141.461742669019,99.542414027979,100,150.931872958765,156.687828562447,139.38819707634,129.987381455543,154.850935256824,160.458655710219,141.54361038825
